column,dtype,n_unique,missing_nan,missing_question_mark
encounter_id,int64,101766,0,0
patient_nbr,int64,71518,0,0
race,str,6,0,2273
gender,str,3,0,0
age,str,10,0,0
weight,str,10,0,98569
admission_type_id,int64,8,0,0
discharge_disposition_id,int64,26,0,0
admission_source_id,int64,17,0,0
time_in_hospital,int64,14,0,0
payer_code,str,18,0,40256
medical_specialty,str,73,0,49949
num_lab_procedures,int64,118,0,0
num_procedures,int64,7,0,0
num_medications,int64,75,0,0
number_outpatient,int64,39,0,0
number_emergency,int64,33,0,0
number_inpatient,int64,21,0,0
diag_1,str,717,0,21
diag_2,str,749,0,358
diag_3,str,790,0,1423
number_diagnoses,int64,16,0,0
max_glu_serum,str,4,96420,0
A1Cresult,str,4,84748,0
metformin,str,4,0,0
repaglinide,str,4,0,0
nateglinide,str,4,0,0
chlorpropamide,str,4,0,0
glimepiride,str,4,0,0
acetohexamide,str,2,0,0
glipizide,str,4,0,0
glyburide,str,4,0,0
tolbutamide,str,2,0,0
pioglitazone,str,4,0,0
rosiglitazone,str,4,0,0
acarbose,str,4,0,0
miglitol,str,4,0,0
troglitazone,str,2,0,0
tolazamide,str,3,0,0
examide,str,1,0,0
citoglipton,str,1,0,0
insulin,str,4,0,0
glyburide-metformin,str,4,0,0
glipizide-metformin,str,2,0,0
glimepiride-pioglitazone,str,2,0,0
metformin-rosiglitazone,str,2,0,0
metformin-pioglitazone,str,2,0,0
change,str,2,0,0
diabetesMed,str,2,0,0
readmitted,str,3,0,0
