,NaN_count,NaN_percentage,question_mark_count,question_mark_percentage
max_glu_serum,96420,94.75,0,0.0
A1Cresult,84748,83.28,0,0.0
weight,0,0.0,98569,96.86
medical_specialty,0,0.0,49949,49.08
payer_code,0,0.0,40256,39.56
race,0,0.0,2273,2.23
diag_3,0,0.0,1423,1.4
diag_2,0,0.0,358,0.35
diag_1,0,0.0,21,0.02
encounter_id,0,0.0,0,0.0
patient_nbr,0,0.0,0,0.0
gender,0,0.0,0,0.0
age,0,0.0,0,0.0
admission_type_id,0,0.0,0,0.0
discharge_disposition_id,0,0.0,0,0.0
admission_source_id,0,0.0,0,0.0
time_in_hospital,0,0.0,0,0.0
num_lab_procedures,0,0.0,0,0.0
num_procedures,0,0.0,0,0.0
num_medications,0,0.0,0,0.0
number_outpatient,0,0.0,0,0.0
number_emergency,0,0.0,0,0.0
number_inpatient,0,0.0,0,0.0
number_diagnoses,0,0.0,0,0.0
metformin,0,0.0,0,0.0
repaglinide,0,0.0,0,0.0
nateglinide,0,0.0,0,0.0
chlorpropamide,0,0.0,0,0.0
glimepiride,0,0.0,0,0.0
acetohexamide,0,0.0,0,0.0
glipizide,0,0.0,0,0.0
glyburide,0,0.0,0,0.0
tolbutamide,0,0.0,0,0.0
pioglitazone,0,0.0,0,0.0
rosiglitazone,0,0.0,0,0.0
acarbose,0,0.0,0,0.0
miglitol,0,0.0,0,0.0
troglitazone,0,0.0,0,0.0
tolazamide,0,0.0,0,0.0
examide,0,0.0,0,0.0
citoglipton,0,0.0,0,0.0
insulin,0,0.0,0,0.0
glyburide-metformin,0,0.0,0,0.0
glipizide-metformin,0,0.0,0,0.0
glimepiride-pioglitazone,0,0.0,0,0.0
metformin-rosiglitazone,0,0.0,0,0.0
metformin-pioglitazone,0,0.0,0,0.0
change,0,0.0,0,0.0
diabetesMed,0,0.0,0,0.0
readmitted,0,0.0,0,0.0
