column,role,missing_count,missing_percentage
weight,candidate_feature,98569,96.86
max_glu_serum,candidate_feature,96420,94.75
A1Cresult,candidate_feature,84748,83.28
medical_specialty,candidate_feature,49949,49.08
payer_code,candidate_feature,40256,39.56
race,candidate_feature,2273,2.23
diag_3,candidate_feature,1423,1.4
diag_2,candidate_feature,358,0.35
diag_1,candidate_feature,21,0.02
patient_nbr,identifier,0,0.0
time_in_hospital,review_required,0,0.0
admission_source_id,candidate_feature,0,0.0
num_lab_procedures,candidate_feature,0,0.0
encounter_id,identifier,0,0.0
admission_type_id,candidate_feature,0,0.0
discharge_disposition_id,review_required,0,0.0
gender,candidate_feature,0,0.0
age,candidate_feature,0,0.0
number_inpatient,candidate_feature,0,0.0
number_emergency,candidate_feature,0,0.0
number_outpatient,candidate_feature,0,0.0
num_medications,candidate_feature,0,0.0
num_procedures,candidate_feature,0,0.0
number_diagnoses,candidate_feature,0,0.0
metformin,candidate_feature,0,0.0
repaglinide,candidate_feature,0,0.0
nateglinide,candidate_feature,0,0.0
chlorpropamide,candidate_feature,0,0.0
glimepiride,candidate_feature,0,0.0
acetohexamide,candidate_feature,0,0.0
glipizide,candidate_feature,0,0.0
glyburide,candidate_feature,0,0.0
tolbutamide,candidate_feature,0,0.0
pioglitazone,candidate_feature,0,0.0
rosiglitazone,candidate_feature,0,0.0
acarbose,candidate_feature,0,0.0
miglitol,candidate_feature,0,0.0
troglitazone,candidate_feature,0,0.0
tolazamide,candidate_feature,0,0.0
examide,candidate_feature,0,0.0
citoglipton,candidate_feature,0,0.0
insulin,candidate_feature,0,0.0
glyburide-metformin,candidate_feature,0,0.0
glipizide-metformin,candidate_feature,0,0.0
glimepiride-pioglitazone,candidate_feature,0,0.0
metformin-rosiglitazone,candidate_feature,0,0.0
metformin-pioglitazone,candidate_feature,0,0.0
change,candidate_feature,0,0.0
diabetesMed,candidate_feature,0,0.0
readmitted,target,0,0.0
