,count,mean,std,min,25%,50%,75%,90%,99%,max
encounter_count,71518.0,1.4229424760200229,1.0907404993062546,1.0,1.0,1.0,1.0,2.0,6.0,40.0
number_inpatient_sum,71518.0,0.90437372409743,4.165277834282453,0.0,0.0,0.0,1.0,2.0,13.0,382.0
number_emergency_sum,71518.0,0.2815095500433457,2.7086462007939005,0.0,0.0,0.0,0.0,0.0,5.0,313.0
number_outpatient_sum,71518.0,0.5255739813753181,2.3561208874451287,0.0,0.0,0.0,0.0,1.0,9.0,149.0
num_lab_procedures_mean,71518.0,43.22311037055875,18.893236310125104,1.0,32.0,44.0,56.0,67.0,84.0,121.0
num_procedures_mean,71518.0,1.4123965218393422,1.663913024354658,0.0,0.0,1.0,2.0,4.0,6.0,6.0
num_medications_mean,71518.0,15.78651240051987,7.91362351386396,1.0,10.0,15.0,20.0,25.5,43.0,81.0
number_diagnoses_mean,71518.0,7.291420072148642,1.9175061275393184,1.0,6.0,8.0,9.0,9.0,9.0,16.0
medication_active_entries_mean,71518.0,1.1764808031932603,0.9043913039782158,0.0,0.6666666666666666,1.0,2.0,2.0,4.0,6.0
distinct_medications_recorded_active,71518.0,1.2954780614670434,1.0031199675913172,0.0,1.0,1.0,2.0,3.0,4.0,7.0
diagnosis_entries_mean,71518.0,2.9792239355642973,0.160596137059379,0.0,3.0,3.0,3.0,3.0,3.0,3.0
unique_diagnosis_codes,71518.0,3.729914147487346,1.915306978842033,0.0,3.0,3.0,3.0,6.0,12.0,35.0
