source_variable,feature_type,transformation,used_for_similarity,fit_on,exclusion_reason
encounter_count,numeric,median imputation + StandardScaler,True,train only,
number_inpatient_sum,numeric,median imputation + StandardScaler,True,train only,
number_inpatient_mean,numeric,median imputation + StandardScaler,True,train only,
number_inpatient_max,numeric,median imputation + StandardScaler,True,train only,
number_emergency_sum,numeric,median imputation + StandardScaler,True,train only,
number_emergency_mean,numeric,median imputation + StandardScaler,True,train only,
number_emergency_max,numeric,median imputation + StandardScaler,True,train only,
number_outpatient_sum,numeric,median imputation + StandardScaler,True,train only,
number_outpatient_mean,numeric,median imputation + StandardScaler,True,train only,
number_outpatient_max,numeric,median imputation + StandardScaler,True,train only,
num_lab_procedures_sum,numeric,median imputation + StandardScaler,True,train only,
num_lab_procedures_mean,numeric,median imputation + StandardScaler,True,train only,
num_lab_procedures_max,numeric,median imputation + StandardScaler,True,train only,
num_procedures_sum,numeric,median imputation + StandardScaler,True,train only,
num_procedures_mean,numeric,median imputation + StandardScaler,True,train only,
num_procedures_max,numeric,median imputation + StandardScaler,True,train only,
num_medications_sum,numeric,median imputation + StandardScaler,True,train only,
num_medications_mean,numeric,median imputation + StandardScaler,True,train only,
num_medications_max,numeric,median imputation + StandardScaler,True,train only,
number_diagnoses_sum,numeric,median imputation + StandardScaler,True,train only,
number_diagnoses_mean,numeric,median imputation + StandardScaler,True,train only,
number_diagnoses_max,numeric,median imputation + StandardScaler,True,train only,
medication_active_entries_sum,numeric,median imputation + StandardScaler,True,train only,
medication_active_entries_mean,numeric,median imputation + StandardScaler,True,train only,
medication_active_entries_max,numeric,median imputation + StandardScaler,True,train only,
distinct_medications_recorded_active,numeric,median imputation + StandardScaler,True,train only,
diagnosis_entries_sum,numeric,median imputation + StandardScaler,True,train only,
diagnosis_entries_mean,numeric,median imputation + StandardScaler,True,train only,
diagnosis_entries_max,numeric,median imputation + StandardScaler,True,train only,
unique_diagnosis_codes,numeric,median imputation + StandardScaler,True,train only,
admission_type_id_mode,numeric,median imputation + StandardScaler,True,train only,
admission_source_id_mode,numeric,median imputation + StandardScaler,True,train only,
race_mode,categorical,most-frequent imputation + one-hot encoding,True,train only,
gender_mode,categorical,most-frequent imputation + one-hot encoding,True,train only,
age_mode,categorical,most-frequent imputation + one-hot encoding,True,train only,
A1Cresult_mode,categorical,most-frequent imputation + one-hot encoding,True,train only,
change_mode,categorical,most-frequent imputation + one-hot encoding,True,train only,
diabetesMed_mode,categorical,most-frequent imputation + one-hot encoding,True,train only,
patient_nbr,excluded,none,False,not applicable,identifier
