community_id,community_size,mean_degree,mean_weighted_strength,mean_betweenness,mean_closeness,mean_eigenvector
1,6767,15.162701344761341,13.057796053645845,0.0001529490533695,61.41380992236101,5.105841227386075e-09
2,4069,18.06881297616122,16.671113665518106,0.00014286420449157906,68.27703267165447,0.00012914012959113958
3,3926,17.303616912888437,15.988899868379926,0.00015524418776479944,67.39869109137508,0.00011994451458698147
4,3648,18.442708333333332,17.12639951883482,0.00012156138248827663,66.22883141577296,7.798841541897108e-07
5,3636,14.701870187018702,13.449543646605703,7.057594075611725e-05,55.96378098633067,7.550094281887702e-11
6,3598,18.431628682601445,17.591092305536232,0.0001166094553033209,55.02905864659687,1.2672188230497502e-08
7,3182,19.040854808296668,17.87844843802475,0.00012381269694398925,60.693725084924175,6.875397500615009e-08
8,2772,18.88997113997114,17.837164128259943,9.511099136986934e-05,62.852586375579634,1.299798260542405e-06
9,2216,16.27436823104693,14.279031684458557,0.00017606640338207756,65.35437897197446,7.574375344957746e-08
10,2205,19.939229024943312,18.786548760310367,8.92221359868865e-05,62.5410378470791,2.0482526421302978e-07
11,2100,14.197142857142858,12.647535117519487,0.00021462107487262494,70.10916718063446,1.2681881611161834e-06
12,1859,15.556750941366326,14.062586441433957,0.000353365147999769,71.66804740605505,9.416081759104235e-06
13,1771,17.998870694522868,16.945221666976025,9.770407487097929e-05,62.27473777860426,0.0002014654165682449
14,1761,20.822260079500285,19.118957604098345,0.00011361247790564658,61.724415143919664,7.608196360183004e-08
15,1323,18.284202569916857,16.421776345838648,0.0002328575009679709,68.73817476589026,7.826943240568729e-07
16,1104,16.26086956521739,14.21463047488173,0.0001561881216847281,61.76734561784215,9.864016107121982e-08
17,781,21.151088348271447,20.21214370041092,5.326364531115197e-05,62.274681527030246,0.002032925836326324
18,770,21.814285714285713,21.05802150982977,5.231138715704319e-05,61.93196481846807,0.015136867248921661
19,751,17.019973368841544,16.619071829440294,0.0,0.0,0.0
20,532,21.165413533834588,19.836711161769596,7.87710934612913e-05,57.75470828517281,7.690831988446243e-09
21,519,13.053949903660886,11.76336242695233,0.0003295466689297519,65.24464943117258,1.0222821380859326e-08
22,279,14.007168458781361,11.81904987968724,0.00015661811235491966,63.85843034838925,1.2213771436511083e-09
23,236,21.584745762711865,21.05419440697948,0.00012277849017864242,52.68961604141989,1.498127934936378e-08
24,136,15.397058823529411,12.170070950686325,3.5891336772632546e-05,54.64839729700322,1.033265224159044e-11
25,38,11.578947368421053,9.675740718070157,3.948172912731358e-05,54.27837275518067,5.507375515883866e-11
26,2,1.0,0.8815381195841914,0.0,0.0,0.0
27,2,1.0,0.8318311141638567,0.0,0.0,0.0
28,2,1.0,0.8184072909190429,0.0,0.0,0.0
29,1,0.0,0.0,0.0,0.0,0.0
30,1,0.0,0.0,0.0,0.0,0.0
31,1,0.0,0.0,0.0,0.0,0.0
32,1,0.0,0.0,0.0,0.0,0.0
33,1,0.0,0.0,0.0,0.0,0.0
34,1,0.0,0.0,0.0,0.0,0.0
35,1,0.0,0.0,0.0,0.0,0.0
36,1,0.0,0.0,0.0,0.0,0.0
37,1,0.0,0.0,0.0,0.0,0.0
38,1,0.0,0.0,0.0,0.0,0.0
39,1,0.0,0.0,0.0,0.0,0.0
40,1,0.0,0.0,0.0,0.0,0.0
41,1,0.0,0.0,0.0,0.0,0.0
42,1,0.0,0.0,0.0,0.0,0.0
43,1,0.0,0.0,0.0,0.0,0.0
44,1,0.0,0.0,0.0,0.0,0.0
45,1,0.0,0.0,0.0,0.0,0.0
46,1,0.0,0.0,0.0,0.0,0.0
47,1,0.0,0.0,0.0,0.0,0.0
48,1,0.0,0.0,0.0,0.0,0.0
49,1,0.0,0.0,0.0,0.0,0.0
50,1,0.0,0.0,0.0,0.0,0.0
51,1,0.0,0.0,0.0,0.0,0.0
52,1,0.0,0.0,0.0,0.0,0.0
53,1,0.0,0.0,0.0,0.0,0.0
54,1,0.0,0.0,0.0,0.0,0.0
55,1,0.0,0.0,0.0,0.0,0.0
56,1,0.0,0.0,0.0,0.0,0.0
57,1,0.0,0.0,0.0,0.0,0.0
58,1,0.0,0.0,0.0,0.0,0.0
59,1,0.0,0.0,0.0,0.0,0.0
60,1,0.0,0.0,0.0,0.0,0.0
61,1,0.0,0.0,0.0,0.0,0.0
62,1,0.0,0.0,0.0,0.0,0.0
63,1,0.0,0.0,0.0,0.0,0.0
64,1,0.0,0.0,0.0,0.0,0.0
65,1,0.0,0.0,0.0,0.0,0.0
66,1,0.0,0.0,0.0,0.0,0.0
67,1,0.0,0.0,0.0,0.0,0.0
68,1,0.0,0.0,0.0,0.0,0.0
69,1,0.0,0.0,0.0,0.0,0.0
70,1,0.0,0.0,0.0,0.0,0.0
71,1,0.0,0.0,0.0,0.0,0.0
72,1,0.0,0.0,0.0,0.0,0.0
73,1,0.0,0.0,0.0,0.0,0.0
74,1,0.0,0.0,0.0,0.0,0.0
75,1,0.0,0.0,0.0,0.0,0.0
76,1,0.0,0.0,0.0,0.0,0.0
77,1,0.0,0.0,0.0,0.0,0.0
78,1,0.0,0.0,0.0,0.0,0.0
79,1,0.0,0.0,0.0,0.0,0.0
80,1,0.0,0.0,0.0,0.0,0.0
81,1,0.0,0.0,0.0,0.0,0.0
82,1,0.0,0.0,0.0,0.0,0.0
83,1,0.0,0.0,0.0,0.0,0.0
84,1,0.0,0.0,0.0,0.0,0.0
85,1,0.0,0.0,0.0,0.0,0.0
86,1,0.0,0.0,0.0,0.0,0.0
87,1,0.0,0.0,0.0,0.0,0.0
88,1,0.0,0.0,0.0,0.0,0.0
89,1,0.0,0.0,0.0,0.0,0.0
90,1,0.0,0.0,0.0,0.0,0.0
91,1,0.0,0.0,0.0,0.0,0.0
92,1,0.0,0.0,0.0,0.0,0.0
93,1,0.0,0.0,0.0,0.0,0.0
94,1,0.0,0.0,0.0,0.0,0.0
95,1,0.0,0.0,0.0,0.0,0.0
96,1,0.0,0.0,0.0,0.0,0.0
97,1,0.0,0.0,0.0,0.0,0.0
98,1,0.0,0.0,0.0,0.0,0.0
99,1,0.0,0.0,0.0,0.0,0.0
100,1,0.0,0.0,0.0,0.0,0.0
101,1,0.0,0.0,0.0,0.0,0.0
102,1,0.0,0.0,0.0,0.0,0.0
103,1,0.0,0.0,0.0,0.0,0.0
104,1,0.0,0.0,0.0,0.0,0.0
105,1,0.0,0.0,0.0,0.0,0.0
