community_id,community_size,fraction_of_network
1,6767,0.1351723862410611
2,4069,0.0812792137749191
3,3926,0.0784227557828293
4,3648,0.072869641644361
5,3636,0.07262993887579401
6,3598,0.07187088010866526
7,3182,0.06356118413167672
8,2772,0.05537133953897168
9,2216,0.04426511126203508
10,2205,0.04404538372418201
11,2100,0.041947984499220964
12,1859,0.03713395389716751
13,1771,0.035376133594343016
14,1761,0.035176381287203864
15,1323,0.02642723023450921
16,1104,0.022052654708161878
17,781,0.015600655187567416
18,770,0.015380927649714354
19,751,0.015001398266149974
20,532,0.010626822739802646
21,519,0.010367144740521753
22,279,0.005573089369182214
23,236,0.00471415444848388
24,136,0.002716631377092405
25,38,0.0007590587671287603
26,2,3.9950461427829494e-05
27,2,3.9950461427829494e-05
28,2,3.9950461427829494e-05
29,1,1.9975230713914747e-05
30,1,1.9975230713914747e-05
31,1,1.9975230713914747e-05
32,1,1.9975230713914747e-05
33,1,1.9975230713914747e-05
34,1,1.9975230713914747e-05
35,1,1.9975230713914747e-05
36,1,1.9975230713914747e-05
37,1,1.9975230713914747e-05
38,1,1.9975230713914747e-05
39,1,1.9975230713914747e-05
40,1,1.9975230713914747e-05
41,1,1.9975230713914747e-05
42,1,1.9975230713914747e-05
43,1,1.9975230713914747e-05
44,1,1.9975230713914747e-05
45,1,1.9975230713914747e-05
46,1,1.9975230713914747e-05
47,1,1.9975230713914747e-05
48,1,1.9975230713914747e-05
49,1,1.9975230713914747e-05
50,1,1.9975230713914747e-05
51,1,1.9975230713914747e-05
52,1,1.9975230713914747e-05
53,1,1.9975230713914747e-05
54,1,1.9975230713914747e-05
55,1,1.9975230713914747e-05
56,1,1.9975230713914747e-05
57,1,1.9975230713914747e-05
58,1,1.9975230713914747e-05
59,1,1.9975230713914747e-05
60,1,1.9975230713914747e-05
61,1,1.9975230713914747e-05
62,1,1.9975230713914747e-05
63,1,1.9975230713914747e-05
64,1,1.9975230713914747e-05
65,1,1.9975230713914747e-05
66,1,1.9975230713914747e-05
67,1,1.9975230713914747e-05
68,1,1.9975230713914747e-05
69,1,1.9975230713914747e-05
70,1,1.9975230713914747e-05
71,1,1.9975230713914747e-05
72,1,1.9975230713914747e-05
73,1,1.9975230713914747e-05
74,1,1.9975230713914747e-05
75,1,1.9975230713914747e-05
76,1,1.9975230713914747e-05
77,1,1.9975230713914747e-05
78,1,1.9975230713914747e-05
79,1,1.9975230713914747e-05
80,1,1.9975230713914747e-05
81,1,1.9975230713914747e-05
82,1,1.9975230713914747e-05
83,1,1.9975230713914747e-05
84,1,1.9975230713914747e-05
85,1,1.9975230713914747e-05
86,1,1.9975230713914747e-05
87,1,1.9975230713914747e-05
88,1,1.9975230713914747e-05
89,1,1.9975230713914747e-05
90,1,1.9975230713914747e-05
91,1,1.9975230713914747e-05
92,1,1.9975230713914747e-05
93,1,1.9975230713914747e-05
94,1,1.9975230713914747e-05
95,1,1.9975230713914747e-05
96,1,1.9975230713914747e-05
97,1,1.9975230713914747e-05
98,1,1.9975230713914747e-05
99,1,1.9975230713914747e-05
100,1,1.9975230713914747e-05
101,1,1.9975230713914747e-05
102,1,1.9975230713914747e-05
103,1,1.9975230713914747e-05
104,1,1.9975230713914747e-05
105,1,1.9975230713914747e-05
