policy,replication,n_patients,intervention_count,readmissions,readmission_rate,mean_transition_probability,no_intervention_readmissions,no_intervention_rate,prevented_vs_no_intervention,absolute_reduction,relative_reduction,intervention_efficiency
no_intervention,0,10728,0,1328,0.12378821774794929,0.12342287122431879,1328,0.12378821774794929,0,0.0,0.0,
random,0,10728,1073,1302,0.12136465324384788,0.12096075126006092,1328,0.12378821774794929,26,0.0024235645041014164,0.019578313253012045,0.024231127679403542
risk_based,0,10728,1073,1181,0.11008575689783744,0.11077668193383391,1328,0.12378821774794929,147,0.013702460850111856,0.11069277108433734,0.1369990680335508
network_informed,0,10728,1073,1200,0.11185682326621924,0.11241783754658474,1328,0.12378821774794929,128,0.011931394481730057,0.09638554216867473,0.11929170549860205
no_intervention,1,10728,0,1348,0.1256524981357196,0.12342287122431879,1348,0.1256524981357196,0,0.0,0.0,
random,1,10728,1073,1323,0.12332214765100671,0.12112483253917425,1348,0.1256524981357196,25,0.0023303504847128897,0.01854599406528181,0.023299161230195712
risk_based,1,10728,1073,1196,0.11148396718866517,0.11077668193383391,1348,0.1256524981357196,152,0.014168530947054433,0.11275964391691393,0.14165890027958994
network_informed,1,10728,1073,1218,0.11353467561521252,0.11241783754658474,1348,0.1256524981357196,130,0.012117822520507082,0.09643916913946586,0.1211556383970177
no_intervention,2,10728,0,1313,0.12239000745712156,0.12342287122431879,1313,0.12239000745712156,0,0.0,0.0,
random,2,10728,1073,1281,0.11940715883668904,0.12099550868159532,1313,0.12239000745712156,32,0.002982848620432521,0.024371667936024435,0.02982292637465051
risk_based,2,10728,1073,1177,0.10971290082028337,0.11077668193383391,1313,0.12239000745712156,136,0.012677106636838187,0.10357958872810362,0.1267474370922647
network_informed,2,10728,1073,1186,0.11055182699478001,0.11241783754658474,1313,0.12239000745712156,127,0.011838180462341544,0.09672505712109679,0.11835973904939422
no_intervention,3,10728,0,1295,0.12071215510812826,0.12342287122431879,1295,0.12071215510812826,0,0.0,0.0,
random,3,10728,1073,1274,0.11875466070096942,0.12079765161430951,1295,0.12071215510812826,21,0.0019574944071588385,0.01621621621621623,0.0195712954333644
risk_based,3,10728,1073,1162,0.10831469052945562,0.11077668193383391,1295,0.12071215510812826,133,0.012397464578672635,0.10270270270270272,0.1239515377446412
network_informed,3,10728,1073,1181,0.11008575689783744,0.11241783754658474,1295,0.12071215510812826,114,0.010626398210290822,0.08803088803088799,0.10624417520969245
no_intervention,4,10728,0,1282,0.11950037285607755,0.12342287122431879,1282,0.11950037285607755,0,0.0,0.0,
random,4,10728,1073,1247,0.11623788217747949,0.12101655409408027,1282,0.11950037285607755,35,0.0032624906785980595,0.027301092043681734,0.032618825722273995
risk_based,4,10728,1073,1135,0.1057979120059657,0.11077668193383391,1282,0.11950037285607755,147,0.013702460850111856,0.11466458658346333,0.1369990680335508
network_informed,4,10728,1073,1161,0.10822147651006711,0.11241783754658474,1282,0.11950037285607755,121,0.011278896346010439,0.09438377535101404,0.11276794035414725
no_intervention,5,10728,0,1254,0.11689038031319911,0.12342287122431879,1254,0.11689038031319911,0,0.0,0.0,
random,5,10728,1073,1227,0.11437360178970918,0.1210196609952788,1254,0.11689038031319911,27,0.0025167785234899293,0.02153110047846887,0.02516309412861137
risk_based,5,10728,1073,1103,0.10281506338553319,0.11077668193383391,1254,0.11689038031319911,151,0.01407531692766592,0.12041467304625199,0.1407269338303821
network_informed,5,10728,1073,1115,0.10393363161819538,0.11241783754658474,1254,0.11689038031319911,139,0.012956748695003725,0.11084529505582134,0.12954333643988816
no_intervention,6,10728,0,1306,0.12173750932140194,0.12342287122431879,1306,0.12173750932140194,0,0.0,0.0,
