policy,replication,readmission_rate,absolute_reduction,intervention_count
random,0,0.12080536912751678,0.0024235645041014164,1073
feature_only,0,0.11120432513049963,0.01202460850111857,1073
risk_only,0,0.11120432513049963,0.01202460850111857,1073
network_only,0,0.12201715137956749,0.0012117822520507082,1073
risk_network,0,0.11269574944071588,0.010533184190902323,1073
random,1,0.1215510812826249,0.0028896346010440083,1073
feature_only,1,0.10952647278150635,0.014914243102162564,1073
risk_only,1,0.10952647278150635,0.014914243102162564,1073
network_only,1,0.12285607755406414,0.0015846383296047734,1073
risk_network,1,0.11185682326621924,0.012583892617449674,1073
random,2,0.12481357196122297,0.0018642803877703118,1073
feature_only,2,0.1122296793437733,0.014448173005219986,1073
risk_only,2,0.1122296793437733,0.014448173005219986,1073
network_only,2,0.12378821774794929,0.0028896346010439944,1073
risk_network,2,0.1145600298284862,0.012117822520507082,1073
random,3,0.11940715883668904,0.0033557046979865723,1073
feature_only,3,0.10999254287844892,0.012770320656226686,1073
risk_only,3,0.10999254287844892,0.012770320656226686,1073
network_only,3,0.1208985831469053,0.0018642803877703118,1073
risk_network,3,0.11055182699478001,0.012211036539895595,1073
random,4,0.11875466070096942,0.0031692766592095467,1073
feature_only,4,0.10859433258762118,0.01332960477255779,1073
risk_only,4,0.10859433258762118,0.01332960477255779,1073
network_only,4,0.12024608501118568,0.0016778523489932862,1073
risk_network,4,0.11008575689783744,0.01183818046234153,1073
random,5,0.122110365398956,0.002237136465324377,1073
feature_only,5,0.11213646532438479,0.012211036539895595,1073
risk_only,5,0.11213646532438479,0.012211036539895595,1073
network_only,5,0.12341536167039523,0.0009321401938851559,1073
risk_network,5,0.11390753169276659,0.010439970171513796,1073
random,6,0.12444071588366891,0.003448918717375085,1073
feature_only,6,0.11502609992542878,0.012863534675615212,1073
risk_only,6,0.11502609992542878,0.012863534675615212,1073
network_only,6,0.12611856823266218,0.0017710663683818129,1073
risk_network,6,0.11698359433258762,0.010906040268456374,1073
random,7,0.12229679343773303,0.002609992542878456,1073
feature_only,7,0.11204325130499627,0.012863534675615212,1073
risk_only,7,0.11204325130499627,0.012863534675615212,1073
network_only,7,0.12229679343773303,0.002609992542878456,1073
risk_network,7,0.11409395973154363,0.010812826249067861,1073
random,8,0.11922073079791201,0.002982848620432507,1073
feature_only,8,0.10915361670395228,0.013049962714392238,1073
risk_only,8,0.10915361670395228,0.013049962714392238,1073
network_only,8,0.12033929903057419,0.0018642803877703257,1073
risk_network,8,0.11120432513049963,0.010999254287844887,1073
random,9,0.12649142431021626,0.002237136465324391,1073
feature_only,9,0.11521252796420582,0.01351603281133483,1073
risk_only,9,0.11521252796420582,0.01351603281133483,1073
network_only,9,0.1266778523489933,0.002050708426547365,1073
risk_network,9,0.1167971662938106,0.011931394481730057,1073
random,10,0.12472035794183445,0.0031692766592095467,1073
feature_only,10,0.11465324384787472,0.013236390753169278,1073
risk_only,10,0.11465324384787472,0.013236390753169278,1073
network_only,10,0.12593214019388516,0.0019574944071588385,1073
risk_network,10,0.11670395227442207,0.011185682326621926,1073
random,11,0.11959358687546608,0.003448918717375085,1073
feature_only,11,0.11008575689783744,0.012956748695003725,1073
risk_only,11,0.11008575689783744,0.012956748695003725,1073
network_only,11,0.12099179716629381,0.0020507084265473513,1073
risk_network,11,0.11101789709172259,0.01202460850111857,1073
random,12,0.12239000745712156,0.002237136465324377,1073
feature_only,12,0.11362788963460105,0.010999254287844887,1073
risk_only,12,0.11362788963460105,0.010999254287844887,1073
network_only,12,0.12360178970917227,0.0010253542132736687,1073
risk_network,12,0.11558538404175989,0.009041759880686048,1073
random,13,0.12080536912751678,0.002982848620432507,1073
feature_only,13,0.11064504101416853,0.013143176733780765,1073
risk_only,13,0.11064504101416853,0.013143176733780765,1073
network_only,13,0.12220357941834452,0.0015846383296047734,1073
risk_network,13,0.11232289336316181,0.011465324384787479,1073
random,14,0.11950037285607755,0.002982848620432521,1073
feature_only,14,0.10961968680089486,0.012863534675615212,1073
risk_only,14,0.10961968680089486,0.012863534675615212,1073
network_only,14,0.12108501118568232,0.0013982102908277477,1073
risk_network,14,0.11055182699478001,0.011931394481730057,1073
random,15,0.11912751677852348,0.0023303504847129036,1073
feature_only,15,0.10663683818046234,0.014821029082774051,1073
risk_only,15,0.10663683818046234,0.014821029082774051,1073
network_only,15,0.11987322893363161,0.0015846383296047734,1073
risk_network,15,0.10961968680089486,0.01183818046234153,1073
random,16,0.12005965697240865,0.002237136465324377,1073
feature_only,16,0.10887397464578673,0.013422818791946303,1073
risk_only,16,0.10887397464578673,0.013422818791946303,1073
network_only,16,0.1208985831469053,0.0013982102908277338,1073
risk_network,16,0.11055182699478001,0.011744966442953017,1073
random,17,0.12127143922445936,0.0028896346010439944,1073
feature_only,17,0.11120432513049963,0.012956748695003725,1073
risk_only,17,0.11120432513049963,0.012956748695003725,1073
network_only,17,0.12201715137956749,0.002143922445935864,1073
risk_network,17,0.11353467561521252,0.010626398210290836,1073
random,18,0.12350857568978374,0.002609992542878442,1073
feature_only,18,0.11362788963460105,0.012490678598061133,1073
risk_only,18,0.11362788963460105,0.012490678598061133,1073
network_only,18,0.12434750186428038,0.001771066368381799,1073
risk_network,18,0.11642431021625653,0.009694258016405652,1073
random,19,0.12248322147651007,0.0024235645041014164,1073
feature_only,19,0.11148396718866517,0.013422818791946317,1073
risk_only,19,0.11148396718866517,0.013422818791946317,1073
network_only,19,0.1232289336316182,0.0016778523489932862,1073
risk_network,19,0.11474645786726323,0.010160328113348258,1073
random,20,0.11782252050708426,0.0027032065622669688,1073
feature_only,20,0.10840790454884415,0.012117822520507082,1073
risk_only,20,0.10840790454884415,0.012117822520507082,1073
network_only,20,0.11847501864280388,0.0020507084265473513,1073
risk_network,20,0.11017897091722595,0.010346756152125283,1073
random,21,0.12239000745712156,0.0028896346010439944,1073
feature_only,21,0.11120432513049963,0.01407531692766592,1073
risk_only,21,0.11120432513049963,0.01407531692766592,1073
network_only,21,0.12341536167039523,0.0018642803877703257,1073
risk_network,21,0.11316181953765847,0.012117822520507082,1073
random,22,0.12201715137956749,0.002703206562266955,1073
feature_only,22,0.11353467561521252,0.011185682326621926,1073
risk_only,22,0.11353467561521252,0.011185682326621926,1073
network_only,22,0.12304250559284116,0.0016778523489932862,1073
risk_network,22,0.11353467561521252,0.011185682326621926,1073
random,23,0.1232289336316182,0.0023303504847129036,1073
feature_only,23,0.1127889634601044,0.0127703206562267,1073
risk_only,23,0.1127889634601044,0.0127703206562267,1073
network_only,23,0.12406785980611484,0.0014914243102162605,1073
risk_network,23,0.11502609992542878,0.010533184190902323,1073
random,24,0.12043251304996272,0.0033557046979865723,1073
feature_only,24,0.11167039522744221,0.012117822520507082,1073
risk_only,24,0.11167039522744221,0.012117822520507082,1073
network_only,24,0.12183072334079045,0.0019574944071588385,1073
risk_network,24,0.11288217747949292,0.010906040268456374,1073
random,25,0.11894108873974646,0.002237136465324377,1073
feature_only,25,0.1092468307233408,0.011931394481730043,1073
risk_only,25,0.1092468307233408,0.011931394481730043,1073
network_only,25,0.11959358687546608,0.0015846383296047595,1073
risk_network,25,0.11055182699478001,0.010626398210290822,1073
random,26,0.1167971662938106,0.0024235645041014164,1073
feature_only,26,0.10626398210290827,0.01295674869500374,1073
