policy,budget_fraction,intervention_effect,cohens_d_vs_zero,mean_absolute_reduction,sd_absolute_reduction,n
network_only,0.05,0.1,2.0878724642824733,0.00034582401193139365,0.00016563464380485565,100
network_only,0.05,0.2,3.0876852984169605,0.000728001491424309,0.0002357758064908854,100
network_only,0.05,0.3,3.693844382083516,0.001055182699478001,0.0002856597599498288,100
network_only,0.05,0.5,5.0728204735833815,0.0017915734526472774,0.00035317107356289525,100
network_only,0.1,0.1,3.3237054868456077,0.0008939224459358673,0.0002689535668770257,100
network_only,0.1,0.2,4.279488012461972,0.0018465697240865014,0.00043149314093397296,100
network_only,0.1,0.3,5.167103159293521,0.002699478001491423,0.0005224354765660441,100
network_only,0.1,0.5,7.668709995905906,0.00451808351976137,0.0005891582185495917,100
network_only,0.2,0.1,4.930161798508048,0.0019621551081282613,0.0003979900028275022,100
network_only,0.2,0.2,6.678516840306425,0.003943885160328111,0.000590533086107657,100
network_only,0.2,0.3,8.114278215664905,0.005853840417598807,0.0007214246618137591,100
network_only,0.2,0.5,12.262052627811144,0.009742729306487695,0.0007945430999366731,100
network_only,0.3,0.1,6.382650393164515,0.003034116331096196,0.00047536934411221643,100
network_only,0.3,0.2,8.088224696762984,0.006206189410887397,0.0007673116961465225,100
network_only,0.3,0.3,9.943813200753903,0.009191834451901566,0.0009243772249467313,100
network_only,0.3,0.5,13.280292186973309,0.015247949291573455,0.0011481636907454663,100
random,0.05,0.1,2.6757238997465063,0.0006487695749440703,0.0002424650671190453,100
random,0.05,0.2,3.6059843195752688,0.001312453392990305,0.00036396536331719057,100
random,0.05,0.3,4.431714726541572,0.001923005219985085,0.00043391899944917315,100
random,0.05,0.5,5.486957193132223,0.0031562266964951513,0.0005752234955369541,100
random,0.1,0.1,3.7388975448660164,0.001268642803877702,0.0003393093254506828,100
random,0.1,0.2,5.216082451541923,0.002507457121551081,0.0004807165425097629,100
random,0.1,0.3,6.184068597441377,0.0037089858314690517,0.0005997646651273602,100
random,0.1,0.5,8.103788254258104,0.0061474645786726324,0.000758591461893451,100
random,0.2,0.1,5.254456482779071,0.002522371364653242,0.0004800442011309921,100
random,0.2,0.2,7.63786504363834,0.0050018642803877685,0.0006548772794242909,100
random,0.2,0.3,9.291497360358672,0.0074217002237136455,0.000798762560637175,100
random,0.2,0.5,12.30561697487125,0.01229958985831469,0.0009995102141917088,100
random,0.3,0.1,5.797829046209111,0.003696868008948545,0.0006376297023393141,100
random,0.3,0.2,8.45476421360825,0.007409582401193137,0.0008763795434137768,100
random,0.3,0.3,10.591924830091015,0.011088739746457865,0.0010469050644086359,100
random,0.3,0.5,14.342049882365243,0.018446122296793436,0.0012861566127638766,100
risk_network,0.05,0.1,6.4374579505317895,0.0032811334824757636,0.0005096939673531714,100
risk_network,0.05,0.2,9.359068062847184,0.006667598806860551,0.0007124212327645105,100
risk_network,0.05,0.3,10.997238064436498,0.009961782252050707,0.0009058440122584682,100
risk_network,0.05,0.5,19.18219212642742,0.016572520507084264,0.000863953420852886,100
risk_network,0.1,0.1,8.564673171269845,0.005465137956748694,0.0006381023358931516,100
risk_network,0.1,0.2,12.895260192882027,0.011036539895600299,0.000855860194406336,100
risk_network,0.1,0.3,15.568488727212396,0.01648489932885906,0.0010588631701961447,100
risk_network,0.1,0.5,27.881771972961932,0.027414243102162564,0.0009832317375218207,100
risk_network,0.2,0.1,10.687746320234371,0.0082662192393736,0.000773429588586299,100
risk_network,0.2,0.2,17.016042911339817,0.016600484712900824,0.0009755784467279371,100
risk_network,0.2,0.3,20.28382172922078,0.024775354213273672,0.0012214342318727053,100
risk_network,0.2,0.5,30.650423873024344,0.0412686428038777,0.00134642975819328,100
risk_network,0.3,0.1,11.056313685058551,0.009378262490678597,0.0008482268826500766,100
risk_network,0.3,0.2,16.028535142438443,0.018799403430275908,0.0011728709618947706,100
risk_network,0.3,0.3,19.562526880486736,0.028078859060402684,0.0014353390659573144,100
risk_network,0.3,0.5,28.9040183895473,0.046799030574198375,0.0016191184887677256,100
risk_only,0.05,0.1,6.490041955465801,0.004064131245339299,0.0006262103193210573,100
risk_only,0.05,0.2,10.979847405974166,0.008153430275913497,0.0007425813833694257,100
risk_only,0.05,0.3,13.519768794508982,0.01225298284862043,0.0009063012123104461,100
risk_only,0.05,0.5,20.591811150776046,0.02041666666666667,0.0009914944594806672,100
risk_only,0.1,0.1,9.260533679012664,0.006312453392990305,0.0006816511457969584,100
risk_only,0.1,0.2,13.955254970913389,0.012676174496644297,0.0009083441702115046,100
risk_only,0.1,0.3,16.671046730786458,0.01893083519761372,0.001135551684505455,100
risk_only,0.1,0.5,25.884704920502575,0.031560402684563754,0.0012192683973602347,100
risk_only,0.2,0.1,10.9173183302755,0.008461968680089485,0.0007750959003020979,100
risk_only,0.2,0.2,16.43267899478771,0.016993847874720358,0.0010341495674631412,100
risk_only,0.2,0.3,20.560722562022267,0.02539243102162565,0.0012349970165215904,100
risk_only,0.2,0.5,30.098033245513708,0.04236390753169277,0.001407530757445999,100
risk_only,0.3,0.1,11.163025240951505,0.00947986577181208,0.0008492201322841444,100
risk_only,0.3,0.2,16.80624375244342,0.018966256524981354,0.0011285244224917238,100
risk_only,0.3,0.3,20.006426160920142,0.02833240119313945,0.001416165034436934,100
risk_only,0.3,0.5,30.868755848472404,0.04722781506338554,0.0015299552497423602,100
