policy,budget_fraction,intervention_effect,mean_readmission_rate,sd_readmission_rate,mean_absolute_reduction,mean_relative_reduction,mean_prevented,sd_prevented,mean_efficiency,n_replications,ci95_low,ci95_high
network_only,0.05,0.1,0.12264354958985832,0.0024924447702116617,0.00034582401193139365,0.002811244022384047,3.71,1.7769284587384908,0.006921641791044776,100,-0.00014269516303009206,0.0008343431868928794
network_only,0.05,0.2,0.1222613721103654,0.0024950386108947534,0.000728001491424309,0.0059193516850481066,7.81,2.5294028520342087,0.014570895522388059,100,0.00023897392368893737,0.0012170290591596807
network_only,0.05,0.3,0.12193419090231171,0.0025195805331375437,0.001055182699478001,0.008583815438117587,11.32,3.0645579047417515,0.021119402985074625,100,0.0005613449149830423,0.0015490204839729595
network_only,0.05,0.5,0.12119780014914243,0.0025582418748677257,0.0017915734526472776,0.014578426960144606,19.22,3.7888192771827374,0.03585820895522388,100,0.0012901580451732033,0.002292988860121352
network_only,0.1,0.1,0.12209545115585384,0.0025331924606142773,0.0008939224459358673,0.007274976341347222,9.59,2.885333865456737,0.008937558247903076,100,0.0003974167236554689,0.0013904281682162658
network_only,0.1,0.2,0.12114280387770321,0.0025971754172070217,0.0018465697240865014,0.01503077401325218,19.81,4.629058415939663,0.01846225535880708,100,0.0013375233423139252,0.0023556161058590776
network_only,0.1,0.3,0.12028989560029828,0.002611991070477721,0.002699478001491423,0.021968136252197783,28.96,5.604687792600516,0.026989748369058715,100,0.0021875277516777893,0.0032114282513050563
network_only,0.1,0.5,0.11847129008202835,0.0026152304075286415,0.00451808351976137,0.03675860266312817,48.47,6.3204893686000165,0.04517241379310345,100,0.004005498359885756,0.005030668679636984
network_only,0.2,0.1,0.12102721849366144,0.0025798834523592055,0.0019621551081282613,0.01596899168851297,21.05,4.269636750333449,0.009808946877912396,100,0.001456497951465857,0.0024678122647906657
network_only,0.2,0.2,0.1190454884414616,0.002623284401325065,0.003943885160328111,0.03208972439726918,42.31,6.335238947762943,0.019715750232991613,100,0.0034297214176683987,0.004458048902987824
network_only,0.2,0.3,0.1171355331841909,0.002642663655237171,0.005853840417598807,0.047623124088876596,62.8,7.739443771938003,0.029263746505125816,100,0.005335878341172322,0.006371802494025292
network_only,0.2,0.5,0.11324664429530201,0.002569804726509221,0.009742729306487695,0.07923936829827,104.52,8.523858376120621,0.04870456663560112,100,0.009239047580091888,0.010246411032883502
network_only,0.3,0.1,0.1199552572706935,0.002548135069821434,0.003034116331096197,0.024681051186783966,32.55,5.099762323635853,0.010114978247358608,100,0.0025346818574111954,0.003533550804781198
network_only,0.3,0.2,0.11678318419090232,0.0026533599469918336,0.006206189410887396,0.050488719080238526,66.58,8.231719876259891,0.02068986948415165,100,0.005686130861276997,0.006726247960497795
network_only,0.3,0.3,0.11379753914988815,0.0026488577690454516,0.009191834451901566,0.07476475282936118,98.61,9.916718869228527,0.030643256681168428,100,0.008672658329168657,0.009711010574634475
network_only,0.3,0.5,0.10774142431021624,0.002559307921504214,0.015247949291573453,0.12399497011302613,163.58,12.317500074317355,0.05083281541330018,100,0.014746324938958628,0.01574957364418828
random,0.05,0.1,0.12234060402684564,0.002475533627598503,0.0006487695749440703,0.005271512745825733,6.96,2.6011652400531196,0.012985074626865671,100,0.0001635649839347638,0.0011339741659533767
random,0.05,0.2,0.1216769202087994,0.0024933353212944417,0.0013124533929903051,0.010670433304548907,14.08,3.904620417666819,0.026268656716417912,100,0.0008237596700165945,0.0018011471159640156
random,0.05,0.3,0.12106636838180462,0.002458476531980951,0.0019230052199850855,0.01562937725921876,20.63,4.655083026090724,0.038488805970149254,100,0.0014411438197168191,0.002404866620253352
random,0.05,0.5,0.11983314690529456,0.002411084097124515,0.0031562266964951526,0.025648379649119667,33.86,6.170997660120452,0.06317164179104479,100,0.002683654213458748,0.0036287991795315574
random,0.1,0.1,0.121720730797912,0.002481586108821589,0.001268642803877702,0.010312800043270303,13.61,3.6401104434349287,0.012684063373718546,100,0.0007822519265486706,0.0017550336812067334
random,0.1,0.2,0.12048191648023863,0.0025105969417521115,0.002507457121551081,0.02039032044933783,26.9,5.157127068044725,0.025069897483690585,100,0.002015380120967667,0.002999534122134495
random,0.1,0.3,0.11928038777032066,0.0024796451174440015,0.0037089858314690517,0.03015454600049781,39.79,6.434275327486305,0.0370829450139795,100,0.0032229753884500277,0.004194996274488076
random,0.1,0.5,0.11684190902311707,0.0024306693543027524,0.006147464578672632,0.04997460021120483,65.95,8.138169203192943,0.0614631873252563,100,0.005671053385229292,0.006623875772115971
random,0.2,0.1,0.12046700223713647,0.0024766749654320163,0.0025223713646532423,0.020506213729680933,27.06,5.149914189733277,0.012609506057781921,100,0.0020369430714285673,0.0030077996578779173
random,0.2,0.2,0.11798750932140195,0.002523303590063664,0.0050018642803877685,0.04067554573199631,53.66,7.025523453663775,0.02500465983224604,100,0.004507296776735291,0.005496431784040246
random,0.2,0.3,0.11556767337807607,0.0024832942763639916,0.0074217002237136455,0.06034552461544596,79.62,8.569124750515599,0.03710158434296365,100,0.0069349745455463034,0.007908425901880988
